Sample	File	Condition
Uninjured_C57BL.6_1.day.post.injury_3	SRR6931067	Uninjured_C57BL_6_1_day_post_injury
Uninjured_C57BL.6_1.day.post.injury_4	SRR6931068	Uninjured_C57BL_6_1_day_post_injury
Uninjured_C57BL.6_1.day.post.injury_5	SRR6931069	Uninjured_C57BL_6_1_day_post_injury
Injured_STR.ort_1.day.post.injury_1	SRR6931070	Injured_STR_ort_1_day_post_injury
Injured_STR.ort_1.day.post.injury_2	SRR6931071	Injured_STR_ort_1_day_post_injury
Injured_STR.ort_1.day.post.injury_3	SRR6931072	Injured_STR_ort_1_day_post_injury
Injured_STR.ort_1.day.post.injury_4	SRR6931073	Injured_STR_ort_1_day_post_injury
Injured_STR.ort_1.day.post.injury_5	SRR6931074	Injured_STR_ort_1_day_post_injury
Uninjured_STR.ort_1.day.post.injury_1	SRR6931075	Uninjured_STR_ort_1_day_post_injury
Uninjured_STR.ort_1.day.post.injury_2	SRR6931076	Uninjured_STR_ort_1_day_post_injury
Uninjured_STR.ort_1.day.post.injury_3	SRR6931077	Uninjured_STR_ort_1_day_post_injury
Uninjured_STR.ort_1.day.post.injury_4	SRR6931078	Uninjured_STR_ort_1_day_post_injury
Uninjured_STR.ort_1.day.post.injury_5	SRR6931079	Uninjured_STR_ort_1_day_post_injury
Injured_MRL.MpJ_1.week.post.injury_1	SRR6931080	Injured_MRL_MpJ_1_week_post_injury
Injured_MRL.MpJ_1.week.post.injury_2	SRR6931081	Injured_MRL_MpJ_1_week_post_injury
Injured_MRL.MpJ_1.week.post.injury_3	SRR6931082	Injured_MRL_MpJ_1_week_post_injury
Injured_MRL.MpJ_1.week.post.injury_4	SRR6931083	Injured_MRL_MpJ_1_week_post_injury
Injured_MRL.MpJ_1.week.post.injury_5	SRR6931084	Injured_MRL_MpJ_1_week_post_injury
Uninjured_MRL.MpJ_1.week.post.injury_1	SRR6931085	Uninjured_MRL_MpJ_1_week_post_injury
Uninjured_MRL.MpJ_1.week.post.injury_2	SRR6931086	Uninjured_MRL_MpJ_1_week_post_injury
Uninjured_MRL.MpJ_1.week.post.injury_3	SRR6931087	Uninjured_MRL_MpJ_1_week_post_injury
Uninjured_MRL.MpJ_1.week.post.injury_4	SRR6931088	Uninjured_MRL_MpJ_1_week_post_injury
Injured_C57BL.6_1.week.post.injury_1	SRR6931089	Injured_C57BL_6_1_week_post_injury
Injured_C57BL.6_1.week.post.injury_2	SRR6931090	Injured_C57BL_6_1_week_post_injury
Injured_C57BL.6_1.week.post.injury_3	SRR6931091	Injured_C57BL_6_1_week_post_injury
Injured_C57BL.6_1.week.post.injury_4	SRR6931092	Injured_C57BL_6_1_week_post_injury
Injured_C57BL.6_1.week.post.injury_5	SRR6931093	Injured_C57BL_6_1_week_post_injury
Uninjured_C57BL.6_1.week.post.injury_1	SRR6931094	Uninjured_C57BL_6_1_week_post_injury
Uninjured_C57BL.6_1.week.post.injury_2	SRR6931095	Uninjured_C57BL_6_1_week_post_injury
Uninjured_C57BL.6_1.week.post.injury_3	SRR6931096	Uninjured_C57BL_6_1_week_post_injury
Uninjured_C57BL.6_1.week.post.injury_4	SRR6931097	Uninjured_C57BL_6_1_week_post_injury
Uninjured_C57BL.6_1.week.post.injury_5	SRR6931098	Uninjured_C57BL_6_1_week_post_injury
Injured_STR.ort_1.week.post.injury_1	SRR6931099	Injured_STR_ort_1_week_post_injury
Injured_STR.ort_1.week.post.injury_2	SRR6931100	Injured_STR_ort_1_week_post_injury
Injured_STR.ort_1.week.post.injury_3	SRR6931101	Injured_STR_ort_1_week_post_injury
Injured_STR.ort_1.week.post.injury_4	SRR6931102	Injured_STR_ort_1_week_post_injury
Injured_STR.ort_1.week.post.injury_5	SRR6931103	Injured_STR_ort_1_week_post_injury
Uninjured_STR.ort_1.week.post.injury_1	SRR6931104	Uninjured_STR_ort_1_week_post_injury
Uninjured_STR.ort_1.week.post.injury_2	SRR6931105	Uninjured_STR_ort_1_week_post_injury
Uninjured_STR.ort_1.week.post.injury_3	SRR6931106	Uninjured_STR_ort_1_week_post_injury
Uninjured_STR.ort_1.week.post.injury_4	SRR6931107	Uninjured_STR_ort_1_week_post_injury
Injured_MRL.MpJ_2.weeks.post.injury_1	SRR6931108	Injured_MRL_MpJ_2_weeks_post_injury
Injured_MRL.MpJ_2.weeks.post.injury_2	SRR6931109	Injured_MRL_MpJ_2_weeks_post_injury
Injured_MRL.MpJ_2.weeks.post.injury_3	SRR6931110	Injured_MRL_MpJ_2_weeks_post_injury
Injured_MRL.MpJ_2.weeks.post.injury_4	SRR6931111	Injured_MRL_MpJ_2_weeks_post_injury
Injured_MRL.MpJ_2.weeks.post.injury_5	SRR6931112	Injured_MRL_MpJ_2_weeks_post_injury
Uninjured_MRL.MpJ_2.weeks.post.injury_1	SRR6931113	Uninjured_MRL_MpJ_2_weeks_post_injury
Uninjured_MRL.MpJ_2.weeks.post.injury_2	SRR6931114	Uninjured_MRL_MpJ_2_weeks_post_injury
Uninjured_MRL.MpJ_2.weeks.post.injury_3	SRR6931115	Uninjured_MRL_MpJ_2_weeks_post_injury
Uninjured_MRL.MpJ_2.weeks.post.injury_4	SRR6931116	Uninjured_MRL_MpJ_2_weeks_post_injury
Uninjured_MRL.MpJ_2.weeks.post.injury_5	SRR6931117	Uninjured_MRL_MpJ_2_weeks_post_injury
Injured_C57BL.6_2.weeks.post.injury_1	SRR6931118	Injured_C57BL_6_2_weeks_post_injury
Injured_C57BL.6_2.weeks.post.injury_2	SRR6931119	Injured_C57BL_6_2_weeks_post_injury
Injured_C57BL.6_2.weeks.post.injury_3	SRR6931120	Injured_C57BL_6_2_weeks_post_injury
Injured_C57BL.6_2.weeks.post.injury_4	SRR6931121	Injured_C57BL_6_2_weeks_post_injury
Injured_C57BL.6_2.weeks.post.injury_5	SRR6931122	Injured_C57BL_6_2_weeks_post_injury
Uninjured_C57BL.6_2.weeks.post.injury_1	SRR6931123	Uninjured_C57BL_6_2_weeks_post_injury
Uninjured_C57BL.6_2.weeks.post.injury_2	SRR6931124	Uninjured_C57BL_6_2_weeks_post_injury
Uninjured_C57BL.6_2.weeks.post.injury_3	SRR6931125	Uninjured_C57BL_6_2_weeks_post_injury
Uninjured_C57BL.6_2.weeks.post.injury_4	SRR6931126	Uninjured_C57BL_6_2_weeks_post_injury
Uninjured_C57BL.6_2.weeks.post.injury_5	SRR6931127	Uninjured_C57BL_6_2_weeks_post_injury
Injured_STR.ort_2.weeks.post.injury_1	SRR6931128	Injured_STR_ort_2_weeks_post_injury
Injured_STR.ort_2.weeks.post.injury_2	SRR6931129	Injured_STR_ort_2_weeks_post_injury
Injured_STR.ort_2.weeks.post.injury_3	SRR6931130	Injured_STR_ort_2_weeks_post_injury
Injured_STR.ort_2.weeks.post.injury_4	SRR6931131	Injured_STR_ort_2_weeks_post_injury
Injured_STR.ort_2.weeks.post.injury_5	SRR6931132	Injured_STR_ort_2_weeks_post_injury
Uninjured_STR.ort_2.weeks.post.injury_1	SRR6931133	Uninjured_STR_ort_2_weeks_post_injury
Uninjured_STR.ort_2.weeks.post.injury_2	SRR6931134	Uninjured_STR_ort_2_weeks_post_injury
Uninjured_STR.ort_2.weeks.post.injury_3	SRR6931135	Uninjured_STR_ort_2_weeks_post_injury
Uninjured_STR.ort_2.weeks.post.injury_4	SRR6931136	Uninjured_STR_ort_2_weeks_post_injury
Uninjured_STR.ort_2.weeks.post.injury_5	SRR6931137	Uninjured_STR_ort_2_weeks_post_injury
